1;"Ролл ""Томато""";370;Лосось, снежный краб, вяленые томаты, авокадо, сыр, микс соусов, кунжут, 6 шт.;pictures/dish1.jpg;1
2;"Паста ""Карбонара""";339;Бекон, Лук репчатый, Сливки, Спагетти, Сыр пармезан, Черный перец, Чеснок;pictures/dish2.jpeg;4
3;"Ролл ""Трюфельный""";395;Лакедра, лосось, трюфельный сыр, авокадо, трюфельная паста, соус «Спайс», тобико, перец, кунжут, зеленый лук , 6 шт.;pictures/dish3.jpeg;1
4;Шаверма с цыпленком;270;Капуста китайская, Куриная грудка, Лаваш армянский, Огурцы, Помидоры, Соус сливочный, Соус Черный перец;pictures/dish4.jpeg;2
5;"Паста ""Три мяса""";329;Бекон, Курица, Лук репчатый, Свинина, Сливки, Спагетти, Сыр пармезан, Чеснок;pictures/dish5.jpeg;4
6;Грин Карри;390;Курица, креветки, зеленый карри, кокосовое молоко, шампиньоны, брокколи, цукини;pictures/dish6.jpeg;5
7;"Ролл ""Игай""";360;Лосось, мидии, огурец, перец гриль, зеленый лук, 6 шт.;pictures/dish7.jpeg;1
8;"Суши ""Желтохвост спайс""";95;Спайси хамачи;pictures/dish8.jpeg;1
9;"Ролл ""Курай""";360;Лосось, угорь, сыр, кунжут и острый соус, 6 шт.;pictures/dish9.jpeg;1
10;Пицца Маргарита классическая;390;Базилик, Моцарелла, Помидоры, Томатный пицца-соус;pictures/dish10.jpeg;3
11;Бургер Бродвей;312;Булочка с кунжутом белая, Говядина, Огурцы маринованные, Помидоры, Салат Айсберг, Соус барбекю, Соус сливочный, Сыр Чеддер;pictures/dish11.jpeg;2
12;Паста с баклажанами;250;Спагетти, баклажаны, пармезан, перец чили, чеснок, томатный соус, специи, зелень, базилик.;pictures/dish12.jpeg;4
13;Спагетти с морепродуктами, запечённые в пергаменте по-лигурийски;290;Спагетти, салатные мидии, филе кальмара, тигровые креветки, лук порей, помидоры черри, чеснок, базилик, соус песто, кедровые орешки, пармезан.;pictures/dish13.jpeg;4
14;Пицца Карбонара классическая;499;Бекон, Моцарелла, Соус сливочный, Сыр пармезан;pictures/dish14.jpeg;3
15;Пицца Барбекю классическая;480;Колбаски охотничьи, Курица, Моцарелла, Соус барбекю, Томатный пицца-соус, укроп;pictures/dish15.jpeg;3
16;Паста с рагу из индейки и шпинатом;290;Спагетти, индейка, сливки, шампиньоны, лук репчатый, пармезан, шпинат, чеснок.;pictures/dish16.jpeg;4
17;Буррито;289;Капуста китайская, Курица, Лук красный, Моцарелла, Перец болгарский, Помидоры, Рис, Соус мексиканский, Тортилья, Фасоль красная;pictures/dish17.jpeg;2
18;Бургер Гранд Каньон;299;Булочка белая, Капуста китайская, Куриная грудка, Огурцы маринованные, Помидоры, Соус барбекю, Соус сливочный, Сыр Чеддер;pictures/dish18.jpeg;2
19;Овощной салат с цыпленком;250;Куриное филе, огурцы , помидоры, полба, пармезан, соус Цезарь, зелень, кинза, базилик, яйцо.;pictures/dish19.jpeg;5
20;Фреш-ролл с курицей;269;Капуста китайская, Курица, Огурцы, Помидоры, Соус Тар-тар, Сыр пармезан, Тортилья;pictures/dish20.jpeg;2
21;Харчо;220;Говядина, лук репчатый, томатная паста, чеснок, рис, кинза, специи, зелень;pictures/dish21.jpeg;5
22;Пицца Деревенская классическая;569;Бекон, Грибы шампиньоны, Лук красный, Моцарелла, Свинина, Томатный пицца-соус, укроп;pictures/dish22.jpeg;3
23;Ролл Такаши;300;Угорь, огурец, чукка, рис, сливочный сыр, авокадо, кунжут, спайси соус, унаги соус.;pictures/dish23.jpeg;5
24;Рис с овощами, свининой и шампиньонами с соусом удон;320;Рис, морковь, цукини, перец болгарский, китайская капуста, шампиньоны, свинина, кунжут, соус удон;pictures/dish24.jpeg;5
25;Пицца Четыре сыра классическая;559;Моцарелла, Сливочный пицца-соус, Сыр Дор Блю, Сыр пармезан, Сыр Чеддер;pictures/dish25.jpeg;3
